Submission id,Age,Archived at,Completed at,Completion code,Country of birth,Country of residence,Custom study tncs accepted at,Employment status,Ethnicity simplified,Fluent languages,Language,Nationality,Participant id,Reviewed at,Sex,Started at,Status,Student status,Time taken,Total approvals,URL
69fff18c4a2f87bbfe616020,24,2026-05-10T03:08:35.011275Z,2026-05-10T03:08:34.637000Z,NOCODE,United States,United States,Not Applicable,Full-Time,White,English,English,United States,69ff701969e44c4a44aecb08,2026-05-10T03:47:21.730000Z,Female,2026-05-10T02:46:41.443000Z,APPROVED,No,1314.0,9,https://maria-milosh.github.io/prolific2.html
69fff19e846d7fee19d1dc95,34,2026-05-10T03:19:23.575020Z,2026-05-10T03:19:23.138000Z,NOCODE,United States,United States,Not Applicable,Full-Time,Black,English,English,United States,69ee984c37a967ebd3b3ea5f,2026-05-10T03:49:21.458000Z,Female,2026-05-10T02:46:59.313000Z,APPROVED,No,1944.0,43,https://maria-milosh.github.io/prolific2.html
69fff1a366edd49f90c462b8,CONSENT_REVOKED,,,,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,69612c8d7d50cf2f11a27025,,CONSENT_REVOKED,2026-05-10T02:47:07.358000Z,RETURNED,CONSENT_REVOKED,,843,
69fff1a6ff07a39bc0c692cc,46,2026-05-10T03:00:47.924594Z,2026-05-10T03:00:47.559000Z,NOCODE,United States,United States,Not Applicable,Full-Time,Black,English,English,United States,66da824cbc26079e9e3c06a1,2026-05-10T03:40:54.340000Z,Female,2026-05-10T02:47:15.737000Z,APPROVED,No,812.0,220,https://maria-milosh.github.io/prolific2.html
69fff1a8b43b447e5284a6e2,46,2026-05-10T03:08:15.965527Z,2026-05-10T03:08:15.593000Z,NOCODE,El Salvador,United States,Not Applicable,Full-Time,Other,"English, Spanish",Spanish,United States,69fe325de3abb95a926322fc,2026-05-10T03:57:32.248000Z,Female,2026-05-10T02:47:10.186000Z,APPROVED,No,1266.0,4,https://maria-milosh.github.io/prolific1.html
69fff1ab4a2f87bbfe616024,CONSENT_REVOKED,,,,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,69fe4ef475245defa6e103a0,,CONSENT_REVOKED,2026-05-10T02:47:12.095000Z,RETURNED,CONSENT_REVOKED,,27,
69fff1afef70e795a62f7c05,26,2026-05-10T03:02:43.147497Z,2026-05-10T03:02:42.790000Z,NOCODE,United States,United States,Not Applicable,Full-Time,White,English,English,United States,69fe0f2c7df2c1531416b00e,2026-05-10T03:54:16.989000Z,Female,2026-05-10T02:47:31.537000Z,APPROVED,No,912.0,24,https://maria-milosh.github.io/prolific1.html
69fff1dde0268df1a544309b,38,2026-05-10T03:03:59.452053Z,2026-05-10T03:03:59.055000Z,NOCODE,United States,United States,Not Applicable,Full-Time,Black,English,English,United States,69ff3d0fd2d7a294440c4078,2026-05-10T03:45:31.774000Z,Female,2026-05-10T02:48:02.990000Z,APPROVED,No,957.0,0,https://maria-milosh.github.io/prolific2.html
69fff205c6b8180796640cd3,32,2026-05-10T03:00:46.556929Z,2026-05-10T03:00:46.168000Z,NOCODE,United States,United States,Not Applicable,Unemployed (and job seeking),Black,English,English,United States,69ffe5fc7768b5e4360c87cf,2026-05-10T18:11:26.200000Z,Male,2026-05-10T02:48:42.333000Z,APPROVED,No,724.0,0,https://maria-milosh.github.io/prolific1.html
69fff2187ad1fe76c7e09c12,37,2026-05-10T03:04:10.851662Z,2026-05-10T03:04:10.466000Z,NOCODE,China,United States,Not Applicable,Full-Time,Asian,English,Chinese,China,68c9a882ae915e833ed44824,2026-05-10T03:44:42.135000Z,Female,2026-05-10T02:49:01.464000Z,APPROVED,No,910.0,1311,https://maria-milosh.github.io/prolific2.html
69fff21ef2bb52f99f10dd98,19,2026-05-10T03:02:10.294021Z,2026-05-10T03:02:09.898000Z,NOCODE,United States,United States,Not Applicable,Unemployed (and job seeking),White,English,English,United States,69fd9b1aa42a563af17aa5f7,2026-05-10T03:55:59.493000Z,Male,2026-05-10T02:49:22.995000Z,APPROVED,No,767.0,7,https://maria-milosh.github.io/prolific1.html
