control_dgp,tau_shape,n_per_arm,lambda,rank,crit_wald,power_wald,crit_tmax,power_tmax,power_rw_any
phase1_empirical,diffuse_PL,1250,28.550166506304503,6,12.591587243743978,0.9911286408715765,2.584776622879401,0.918,0.9244
phase1_empirical,diffuse_PL,1300,29.69217316655668,6,12.591587243743978,0.9932575051328503,2.584776622879401,0.9312,0.9236
phase1_empirical,diffuse_PL,1350,30.83417982680889,6,12.591587243743978,0.9948960503123137,2.584776622879401,0.9426,0.9406
phase1_empirical,diffuse_PL,1400,31.976186487061042,6,12.591587243743978,0.9961512709424417,2.584776622879401,0.94755,0.9502
phase1_empirical,diffuse_PL,1450,33.118193147313214,6,12.591587243743978,0.9971085285053962,2.584776622879401,0.95775,0.953
phase1_empirical,diffuse_PL,1500,34.26019980756542,6,12.591587243743978,0.997835425923511,2.584776622879401,0.9637,0.9588
phase1_empirical,diffuse_PL,1550,35.4022064678176,6,12.591587243743978,0.9983851375282818,2.584776622879401,0.96775,0.9726
phase1_empirical,diffuse_PL,1600,36.5442131280698,6,12.591587243743978,0.9987992230861896,2.584776622879401,0.97385,0.971
phase1_empirical,diffuse_PL,1650,37.68621978832195,6,12.591587243743978,0.9991099717414385,2.584776622879401,0.9783,0.9778
phase1_empirical,diffuse_PL,1700,38.82822644857414,6,12.591587243743978,0.9993423300447175,2.584776622879401,0.9797,0.983
phase1_empirical,diffuse_PL,1750,39.970233108826314,6,12.591587243743978,0.9995154703966472,2.584776622879401,0.9837,0.9836
phase1_empirical,diffuse_PL,1800,41.11223976907848,6,12.591587243743978,0.9996440544110436,2.584776622879401,0.9859,0.9876
phase1_empirical,diffuse_PL,1850,42.25424642933068,6,12.591587243743978,0.9997392415023191,2.584776622879401,0.98835,0.9892
phase1_empirical,diffuse_PL,1900,43.396253089582885,6,12.591587243743978,0.9998094875711971,2.584776622879401,0.98995,0.9902
phase1_empirical,diffuse_PL,1950,44.53825974983505,6,12.591587243743978,0.99986117279097,2.584776622879401,0.9918,0.9928
phase1_empirical,diffuse_PL,2000,45.680266410087256,6,12.591587243743978,0.9998990916959558,2.584776622879401,0.9925,0.9922
phase1_empirical,diffuse_PL,2050,46.82227307033939,6,12.591587243743978,0.9999268333557035,2.584776622879401,0.9941,0.9932
phase1_empirical,diffuse_PL,2100,47.96427973059156,6,12.591587243743978,0.9999470745500108,2.584776622879401,0.99455,0.9948
phase1_empirical,diffuse_PL,2150,49.10628639084377,6,12.591587243743978,0.999961804609652,2.584776622879401,0.9958,0.9956
phase1_empirical,diffuse_PL,2200,50.24829305109594,6,12.591587243743978,0.9999724969601991,2.584776622879401,0.9967,0.9974
phase1_empirical,diffuse_PL,2250,51.39029971134812,6,12.591587243743978,0.9999802393665456,2.584776622879401,0.99715,0.996
phase1_empirical,diffuse_PL,2300,52.532306371600306,6,12.591587243743978,0.9999858323672705,2.584776622879401,0.9973,0.9978
phase1_empirical,diffuse_PL,2350,53.674313031852506,6,12.591587243743978,0.9999898633448795,2.584776622879401,0.99835,0.999
phase1_empirical,diffuse_PL,2400,54.816319692104656,6,12.591587243743978,0.9999927620327507,2.584776622879401,0.99845,0.9988
phase1_empirical,diffuse_PL,2450,55.95832635235686,6,12.591587243743978,0.9999948419480569,2.584776622879401,0.9988,0.9982
phase1_empirical,diffuse_PL,2500,57.100333012609006,6,12.591587243743978,0.9999963312036995,2.584776622879401,0.99915,0.9988
phase1_empirical,diffuse_PL,2550,58.24233967286118,6,12.591587243743978,0.9999973953401669,2.584776622879401,0.99925,0.9996
phase1_empirical,diffuse_PL,2600,59.38434633311336,6,12.591587243743978,0.9999981541864235,2.584776622879401,0.9993,0.9988
phase1_empirical,diffuse_PL,2650,60.526352993365585,6,12.591587243743978,0.9999986942706923,2.584776622879401,0.9993,0.9994
phase1_empirical,diffuse_PL,2700,61.66835965361778,6,12.591587243743978,0.9999990779270401,2.584776622879401,0.99955,0.9996
phase1_empirical,diffuse_PL,2750,62.810366313869935,6,12.591587243743978,0.9999993499573567,2.584776622879401,0.99965,0.9996
phase1_empirical,diffuse_PL,2800,63.952372974122085,6,12.591587243743978,0.999999542490868,2.584776622879401,0.9998,0.9998
phase1_empirical,diffuse_PL,2850,65.09437963437432,6,12.591587243743978,0.9999996785189827,2.584776622879401,0.99945,0.9998
phase1_empirical,diffuse_PL,2900,66.23638629462643,6,12.591587243743978,0.999999774459661,2.584776622879401,0.9998,0.9996
phase1_empirical,diffuse_PL,2950,67.37839295487858,6,12.591587243743978,0.9999998420129261,2.584776622879401,0.9999,1
phase1_empirical,diffuse_PL,3000,68.52039961513084,6,12.591587243743978,0.9999998895001041,2.584776622879401,0.9998,0.9998
phase1_empirical,diffuse_PL,3050,69.66240627538298,6,12.591587243743978,0.9999999228280979,2.584776622879401,0.9999,0.9998
phase1_empirical,diffuse_PL,3100,70.8044129356352,6,12.591587243743978,0.999999946182056,2.584776622879401,0.9999,1
phase1_empirical,diffuse_PL,3150,71.94641959588736,6,12.591587243743978,0.999999962521808,2.584776622879401,0.99985,1
phase1_empirical,diffuse_PL,3200,73.0884262561396,6,12.591587243743978,0.9999999739368794,2.584776622879401,0.9999,1
