synthetic_group_id,sampled_from_unique_group,group_members,phase,condorcet_exists,condorcet_winner,group_outcome_rule,group_outcome,outcome_matches_condorcet
49,49,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,b7252e46e281,ec338cde8cdc",after,TRUE,community_clinic,plurality,community_clinic,TRUE
50,50,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,b7252e46e281,8d4b92f5ba5d",before,TRUE,food_pantry,plurality,NA,FALSE
50,50,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,b7252e46e281,8d4b92f5ba5d",after,TRUE,community_clinic,plurality,community_clinic,TRUE
51,51,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,b7252e46e281,60d929ceffa5",before,TRUE,food_pantry,plurality,food_pantry,TRUE
51,51,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,b7252e46e281,60d929ceffa5",after,TRUE,food_pantry,plurality,NA,FALSE
52,52,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,b7252e46e281,84b4783bae78",before,TRUE,food_pantry,plurality,food_pantry,TRUE
52,52,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,b7252e46e281,84b4783bae78",after,TRUE,food_pantry,plurality,NA,FALSE
53,53,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,b7252e46e281,455dbb067ce7",before,TRUE,food_pantry,plurality,food_pantry,TRUE
53,53,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,b7252e46e281,455dbb067ce7",after,TRUE,food_pantry,plurality,NA,FALSE
54,54,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,b7252e46e281,8948e22761d2",before,TRUE,community_clinic,plurality,community_clinic,TRUE
54,54,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,b7252e46e281,8948e22761d2",after,TRUE,community_clinic,plurality,community_clinic,TRUE
55,55,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,b7252e46e281,f302a80daf1f",before,TRUE,food_pantry,plurality,NA,FALSE
55,55,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,b7252e46e281,f302a80daf1f",after,TRUE,food_pantry,plurality,community_clinic,FALSE
56,56,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,679457c68ee8,116a3ebe9814",before,TRUE,community_clinic,plurality,community_clinic,TRUE
56,56,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,679457c68ee8,116a3ebe9814",after,TRUE,community_clinic,plurality,community_clinic,TRUE
57,57,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,679457c68ee8,ec338cde8cdc",before,TRUE,food_pantry,plurality,community_clinic,FALSE
57,57,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,679457c68ee8,ec338cde8cdc",after,TRUE,community_clinic,plurality,community_clinic,TRUE
58,58,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,679457c68ee8,8d4b92f5ba5d",before,TRUE,food_pantry,plurality,community_clinic,FALSE
58,58,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,679457c68ee8,8d4b92f5ba5d",after,TRUE,community_clinic,plurality,community_clinic,TRUE
59,59,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,679457c68ee8,60d929ceffa5",before,TRUE,food_pantry,plurality,NA,FALSE
59,59,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,679457c68ee8,60d929ceffa5",after,TRUE,food_pantry,plurality,NA,FALSE
60,60,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,679457c68ee8,84b4783bae78",before,TRUE,food_pantry,plurality,NA,FALSE
60,60,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,679457c68ee8,84b4783bae78",after,TRUE,food_pantry,plurality,NA,FALSE
